#{"t_start": 1707153303.3442564, "env_id": "Radar-v0"}
r,l,t
46.57492,41,96.124243
48.592122,38,96.196909
56.333791,38,96.257902
37.866704,32,96.301515
30.187749,41,96.495033
64.12681,41,96.576316
52.413856,40,96.652146
36.291304,38,96.834165
49.032596,47,96.927135
53.888767,40,96.998989
58.325414,43,97.22688
59.201366,38,97.338753
47.9795,38,97.430724
51.325712,32,97.701301
66.969558,41,97.789873
59.900487,37,97.854192
43.207248,30,97.903673
44.596019,44,98.091449
54.144394,43,98.194762
51.196023,41,98.284301
52.864389,32,98.465213
41.509036,35,98.563431
50.119323,31,98.64283
48.164712,41,98.73794
32.274866,47,98.962545
47.128012,35,99.03963
40.155661,31,99.095286
51.261319,43,99.312154
60.300119,36,99.399498
37.137796,39,99.496219
38.962506,40,99.694237
50.557462,38,99.761897
55.888021,41,99.845148
58.482346,37,99.973357
49.270997,38,100.090975
50.662907,34,100.174224
57.427568,35,100.267834
59.2622,47,100.480614
50.862377,42,100.562654
43.941681,29,100.624924
33.684938,38,100.822126
51.673699,37,100.900341
29.570017,40,100.964721
45.860735,40,101.027888
46.215057,30,101.242982
44.908557,34,101.323968
51.619852,35,101.404188
39.20187,49,101.607659
43.913464,41,101.704995
36.902113,38,101.77493
58.660963,44,101.955997
60.567897,38,102.030302
40.569605,41,102.117852
38.242418,37,102.272342
56.136612,35,102.379239
70.554124,42,102.489728
54.381643,35,102.657673
30.844932,34,102.833455
52.140176,38,102.909973
30.929518,30,102.98499
42.003386,41,103.050745
43.875555,35,103.252419
39.982913,32,103.330446
52.91882,41,103.445883
36.827307,34,103.611228
39.128042,32,103.691112
40.806058,38,103.753552
38.589574,40,103.85864
58.616783,38,104.06119
40.978247,40,104.164637
53.884441,38,104.262929
54.025909,41,104.475661
31.968725,38,104.541254
48.670301,33,104.5851
33.263254,34,104.753278
26.309998,38,104.849277
46.006899,47,104.966131
53.369639,40,105.063394
40.473792,41,105.255645
42.291363,30,105.321353
49.824891,42,105.394819
60.439222,37,105.634885
43.167708,41,105.746481
43.085923,38,105.834049
41.227526,41,106.042488
51.603107,44,106.16874
43.486526,41,106.286005
24.148937,40,106.47116
53.181327,41,106.563925
52.300326,43,106.630955
52.130949,47,106.832394
18.726837,41,106.925834
41.298183,39,107.012964
59.452735,35,107.080166
54.997736,40,107.271972
51.475843,41,107.354337
52.216779,38,107.436643
29.241122,42,107.623259
47.517516,35,107.711235
46.40707,38,107.810302
39.453066,44,108.005779
42.897178,44,108.090027
30.669029,41,108.168092
65.754284,43,108.365079
43.789743,41,108.45062
46.529911,40,108.535536
37.676105,37,108.742932
44.29777,50,108.845531
44.109418,37,108.923515
44.950491,32,109.086041
46.574247,40,109.189927
37.200515,32,109.278191
38.111603,37,109.372797
39.93685,38,109.553133
38.337807,44,109.656423
60.73165,38,109.740793
51.929887,46,109.962282
42.054475,39,110.067027
47.648436,38,110.166598
38.926967,37,110.359182
57.59073,41,110.460797
51.747876,49,110.565935
22.412073,37,110.758252
39.722534,41,110.864376
72.464361,44,110.978769
64.929182,38,111.187452
65.84743,40,111.26408
57.743974,35,111.332909
42.980665,39,111.392252
40.217423,35,111.565303
38.779545,40,111.666474
49.314227,35,111.775017
60.558141,36,112.075969
40.830649,47,112.183607
27.456356,38,112.274688
55.558043,41,112.467937
45.332326,44,112.597425
49.712716,37,112.68999
32.477909,45,112.894416
