#{"t_start": 1694990745.1364563, "env_id": "Radar-v0"}
r,l,t
0.0,1,4.155037
0.0,1,4.157946
0.0,1,4.159886
0.0,1,4.161408
0.0,1,4.162938
0.0,1,4.164588
0.0,1,4.166168
0.0,1,4.168041
0.0,1,4.169574
0.0,1,4.171165
0.0,1,4.172812
0.0,1,4.174299
0.0,1,4.175826
0.0,1,4.177576
0.0,1,4.179064
0.0,1,4.180699
0.0,1,4.182348
0.0,1,4.183926
0.0,1,4.185496
0.0,1,4.187057
0.0,1,4.188723
0.0,1,4.190307
0.0,1,4.19183
0.0,1,4.193387
0.0,1,4.194943
0.0,1,4.196496
0.0,1,4.198306
0.0,1,4.199859
0.0,1,4.201343
0.0,1,4.202772
0.0,1,4.20413
0.0,1,4.20564
0.0,1,4.207148
0.0,1,4.208688
0.0,1,4.210167
0.0,1,4.211605
0.0,1,4.213044
0.0,1,4.214552
0.0,1,4.216061
0.0,1,4.217836
0.0,1,4.219364
0.0,1,4.220856
0.0,1,4.222245
0.0,1,4.223576
0.0,1,4.225065
0.0,1,4.22652
0.0,1,4.227946
0.0,1,4.229367
0.0,1,4.230799
0.0,1,4.232211
0.0,1,4.233819
0.0,1,4.235226
0.0,1,4.236927
0.0,1,4.238541
0.0,1,4.240196
0.0,1,4.241831
0.0,1,4.243503
0.0,1,4.245236
0.0,1,4.24683
0.0,1,4.248317
0.0,1,4.249882
0.0,1,4.251356
0.0,1,4.252902
0.0,1,4.254418
0.0,1,4.255924
0.0,1,4.25764
0.0,1,4.259171
0.0,1,4.26072
0.0,1,4.262233
0.0,1,4.263772
0.0,1,4.265258
0.0,1,4.266732
0.0,1,4.268248
0.0,1,4.269848
0.0,1,4.271444
0.0,1,4.273031
0.0,1,4.274557
0.0,1,4.276104
0.0,1,4.277701
0.0,1,4.279369
0.0,1,4.280901
0.0,1,4.282355
0.0,1,4.283778
0.0,1,4.285345
0.0,1,4.286886
0.0,1,4.288481
0.0,1,4.290034
0.0,1,4.291616
0.0,1,4.293099
0.0,1,4.294676
0.0,1,4.296258
0.0,1,4.297849
0.0,1,4.2996
0.0,1,4.301112
0.0,1,4.302642
0.0,1,4.304161
0.0,1,4.305681
0.0,1,4.307205
0.0,1,4.308804
0.0,1,4.310314
0.0,1,4.311797
0.0,1,4.313348
0.0,1,4.314955
0.0,1,4.316535
0.0,1,4.373174
0.0,1,4.374706
0.0,1,4.376198
0.0,1,4.377841
0.0,1,4.379432
0.0,1,4.381033
0.0,1,4.382672
0.0,1,4.384171
0.0,1,4.385739
0.0,1,4.387297
0.0,1,4.388911
0.0,1,4.39047
0.0,1,4.392033
0.0,1,4.393737
0.0,1,4.395275
0.0,1,4.396798
0.0,1,4.398287
0.0,1,4.399789
0.0,1,4.401363
0.0,1,4.40289
0.0,1,4.404512
0.0,1,4.406143
0.0,1,4.407756
0.0,1,4.409326
0.0,1,4.476727
0.0,1,4.478813
0.0,1,4.480812
0.0,1,4.482652
0.0,1,4.484164
0.0,1,4.485755
0.0,1,4.487527
0.0,1,4.489118
0.0,1,4.49068
0.0,1,4.492221
0.0,1,4.493839
0.0,1,4.495645
0.0,1,4.497272
0.0,1,4.499027
0.0,1,4.500604
0.0,1,4.502279
0.0,1,4.503922
0.0,1,4.50579
0.0,1,4.507463
0.0,1,4.509357
0.0,1,4.511066
0.0,1,4.512797
0.0,1,4.514473
0.0,1,4.516066
0.0,1,4.517786
0.0,1,4.519391
0.0,1,4.521113
0.0,1,4.522708
0.0,1,4.524475
0.0,1,4.526068
0.0,1,4.527881
0.0,1,4.52955
0.0,1,4.531264
0.0,1,4.532985
0.0,1,4.534626
0.0,1,4.536215
0.0,1,4.537907
0.0,1,4.539521
0.0,1,4.54131
0.0,1,4.542904
0.0,1,4.54458
0.0,1,4.546255
0.0,1,4.547897
0.0,1,4.549723
0.0,1,4.551354
0.0,1,4.552991
0.0,1,4.554692
0.0,1,4.556425
0.0,1,4.558233
0.0,1,4.559875
0.0,1,4.561857
0.0,1,4.563648
0.0,1,4.565306
0.0,1,4.56695
0.0,1,4.568678
0.0,1,4.570317
0.0,1,4.572432
0.0,1,4.574029
0.0,1,4.575707
0.0,1,4.577451
0.0,1,4.579375
0.0,1,4.581086
0.0,1,4.582675
0.0,1,4.584233
0.0,1,4.585871
0.0,1,4.58751
0.0,1,4.589178
0.0,1,4.590882
0.0,1,4.592452
0.0,1,4.594317
0.0,1,4.595884
0.0,1,4.597486
0.0,1,4.599068
0.0,1,4.600597
0.0,1,4.60213
0.0,1,4.603633
0.0,1,4.605146
0.0,1,4.606574
0.0,1,4.608022
0.0,1,4.60954
0.0,1,4.610966
0.0,1,4.612428
0.0,1,4.614055
0.0,1,4.615504
0.0,1,4.61707
0.0,1,4.618602
0.0,1,4.620183
0.0,1,4.621863
0.0,1,4.62345
0.0,1,4.62512
0.0,1,4.62669
0.0,1,4.628376
0.0,1,4.630028
0.0,1,4.631609
0.0,1,4.633212
0.0,1,4.634933
0.0,1,4.636579
0.0,1,4.638186
0.0,1,4.639764
0.0,1,4.641361
0.0,1,4.643062
0.0,1,4.644772
0.0,1,4.64645
0.0,1,4.648084
0.0,1,4.650013
0.0,1,4.651565
0.0,1,4.653127
0.0,1,4.654954
0.0,1,4.656872
0.0,1,4.658595
0.0,1,4.660236
0.0,1,4.66189
0.0,1,4.663553
0.0,1,4.665286
0.0,1,4.666916
0.0,1,4.668671
0.0,1,4.670528
0.0,1,4.672251
0.0,1,4.673969
0.0,1,4.675677
0.0,1,4.677305
0.0,1,4.679414
0.0,1,4.681155
0.0,1,4.682903
0.0,1,4.684576
0.0,1,4.686222
0.0,1,4.687829
0.0,1,4.689494
0.0,1,4.779499
0.0,1,4.781911
0.0,1,4.783738
0.0,1,4.785586
0.0,1,4.787336
0.0,1,4.789345
0.0,1,4.791152
0.0,1,4.792902
0.0,1,4.794842
0.0,1,4.796646
0.0,1,4.79824
0.0,1,4.799854
0.0,1,4.801386
0.0,1,4.802971
0.0,1,4.804549
0.0,1,4.806348
0.0,1,4.807992
0.0,1,4.809826
0.0,1,4.811626
0.0,1,4.813302
0.0,1,4.814987
0.0,1,4.817038
0.0,1,4.818779
0.0,1,4.820596
0.0,1,4.822317
0.0,1,4.82412
0.0,1,4.825879
0.0,1,4.827541
0.0,1,4.829291
0.0,1,4.830956
0.0,1,4.83285
0.0,1,4.834618
0.0,1,4.836332
0.0,1,4.838151
0.0,1,4.840082
0.0,1,4.841876
0.0,1,4.843411
0.0,1,4.845087
0.0,1,4.846742
0.0,1,4.848651
0.0,1,4.850394
0.0,1,4.852405
0.0,1,4.854191
0.0,1,4.855952
0.0,1,4.857677
0.0,1,4.859479
0.0,1,4.861326
0.0,1,4.863292
0.0,1,4.864945
0.0,1,4.866669
0.0,1,4.868453
0.0,1,4.870223
0.0,1,4.871982
0.0,1,4.873851
0.0,1,4.875564
0.0,1,4.877271
0.0,1,4.879004
0.0,1,4.880768
0.0,1,4.882526
0.0,1,4.884223
0.0,1,4.886201
0.0,1,4.887896
0.0,1,4.889736
0.0,1,4.891501
0.0,1,4.893251
0.0,1,4.895067
0.0,1,4.896776
0.0,1,4.898614
0.0,1,4.900303
0.0,1,4.901978
0.0,1,4.903575
0.0,1,4.9054
0.0,1,4.907125
0.0,1,4.909141
0.0,1,4.910884
0.0,1,4.912572
0.0,1,4.914258
0.0,1,4.915992
0.0,1,4.917643
0.0,1,4.919426
0.0,1,4.921198
0.0,1,4.922886
0.0,1,4.92467
0.0,1,4.926323
0.0,1,4.928043
0.0,1,4.929638
0.0,1,4.931692
0.0,1,4.933312
0.0,1,4.935024
0.0,1,4.936708
0.0,1,4.938331
0.0,1,4.939941
0.0,1,4.941636
0.0,1,4.943473
0.0,1,4.945235
0.0,1,4.946926
0.0,1,4.948653
0.0,1,4.950347
0.0,1,4.952036
0.0,1,4.954064
0.0,1,4.95577
0.0,1,4.957523
0.0,1,4.959287
